1;1.00;1.46;1.20;8.7e-04;1.9e-04
2;1.46;2.00;1.70;2.1e-03;5.7e-04
3;2.00;2.70;2.32;6.5e-03;2.2e-03
4;2.70;3.80;3.20;1.3e-02;5.7e-03
5;3.80;5.20;4.44;3.2e-02;1.5e-02
6;5.20;7.10;6.07;5.2e-02;3.7e-02
7;7.10;9.70;8.29;8.7e-02;7.8e-02
8;9.70;13.30;11.35;1.1e-01;1.1e-01
9;13.30;18.20;15.55;1.5e-01;1.8e-01
10;18.20;24.90;21.28;1.9e-01;2.5e-01
11;24.90;34.20;29.18;2.5e-01;3.2e-01
12;34.20;46.80;40.00;2.8e-01;3.8e-01
13;46.80;64.20;54.81;3.2e-01;4.4e-01
14;64.20;88.00;75.16;3.6e-01;4.7e-01
15;88.00;121.00;103.18;3.9e-01;5.1e-01
16;121.00;165.00;141.29;4.1e-01;5.4e-01
17;165.00;227.00;193.53;4.2e-01;5.3e-01
18;227.00;311.00;265.70;4.3e-01;5.3e-01
19;311.00;426.00;363.98;4.1e-01;4.9e-01
20;426.00;584.00;498.78;3.2e-01;4.1e-01
21;584.00;800.00;683.52;1.0e-01;1.7e-01
22;800.00;1096.00;936.37;4.7e-02;9.1e-02
23;1096.00;1502.00;1283.04;3.3e-02;6.8e-02
24;1502.00;2000.00;1733.14;3.0e-02;6.1e-02
